"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"9V6415","2021-09-08T10:00:00","26.50","34.90",,,"1","6","2","5","7","3","1",,"320","4","129",,,,,"10100",,,"8","310",,"240","212","7","290",,,"A",,"A","A",,,,,,,"217","64","798","172","5","1","2","2","111111","11AAA111118AAA","5",,,,,,,,
"WLZ9WHS","2021-09-08T10:00:00","27.50","35.50",,,"1","6","2","5","9","0","1",,"300","3","98",,,,,"10089","8","8","8","350",,"260","220","7","297",,,"A",,"A","A",,,,,,,"217","75","798","172","5","1","2","2","151112","11AAA111118AA1","5",,,,,,,,
"WMCS","2021-09-08T11:00:00","25.40","35.40",,,"1","5","2","5","3","3","1",,,,,,,,,"10077","8","18","8","316",,"264","245",,,,,"A",,"A","A",,,,,,,"217","55","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"9V6415","2021-09-08T12:00:00","26.90","34.60",,,"1","6","2","5","7","3","1",,"320","4","98","1","97",,,"10110",,,"8","310",,"260","242","7","300",,,"A",,"A","A",,,,,,,"217","64","798","172","5","1","2","2","111111","111AA111118AAA","5",,,,,,,,
"DIGX2","2021-09-08T12:00:00","21.90","37.80",,,"1","6","2","5","7","4","1",,"330",,"154","1","97","2","0","10025","6","13","8","315","0","280","269","1","314","3",,"6","2","A","1","33","10","10","35","12","6","217","17","798","172","5","0",,"2","111211","11111111111111","5",,"0",,,,,,
"WMCS","2021-09-08T12:00:00","25.20","35.50",,,"1","5","2","5","3","3","1",,,,,,,,,"10075","6","19","8","319",,"266","247",,,,,"A",,"A","A",,,,,,,"217","55","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WLZ9WHS","2021-09-08T14:00:00","27.50","35.50",,,"1","6","2","5","9","0","1",,"300","3","87",,,"5",,"10070","7","13","8","350",,"255","211","7","296",,,"0",,"0","0",,,,,,,"217","75","798","172","5","1","2","2","151112","11A1A111118AA1","5",,,,,,,,
"WMCS","2021-09-08T14:00:00","24.70","35.70",,,"1","5","2","5","3","3","1",,,,,,,,,"10056","8","20","8","310",,"256","237",,,,,"A",,"A","A",,,,,,,"217","45","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-08T15:00:00","24.50","35.80",,,"1","5","2","5","3","3","1",,,,,,,,,"10052","6","22","8","307",,"257","239",,,,,"A",,"A","A",,,,,,,"217","45","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-08T16:00:00","24.30","35.90",,,"1","5","2","5","3","3","1",,,,,,,,,"10054","5","10","8","306",,"258","240",,,,,"A",,"A","A",,,,,,,"217","45","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-08T17:00:00","24.20","36.10",,,"1","5","2","5","3","3","1",,,,,,,,,"10053","5","4","8","313",,"260","242",,,,,"A",,"A","A",,,,,,,"217","46","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"DIGX2","2021-09-08T18:00:00","23.40","36.90",,,"1","6","2","5","7","4","1",,"330",,"123","1","98","2","1","10028","3","7","8","306","0","270","258","1","305","3","1","1","5","0","5",,,"6",,,,"217","36","798","172","5","0",,"1","111111","111111111113A1","5",,"1",,,,,,
"WMCS","2021-09-08T19:00:00","23.80","36.30",,,"1","5","2","5","3","3","1",,,,,,,,,"10054","5","1","8","313",,"263","245",,,,,"A",,"A","A",,,,,,,"217","36","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-08T20:00:00","23.60","36.40",,,"1","5","2","5","3","3","1",,,,,,,,,"10051","8","2","8","308",,"263","247",,,,,"A",,"A","A",,,,,,,"217","36","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-08T21:00:00","23.40","36.50",,,"1","5","2","5","3","3","1",,,,,,,,,"10048","8","6","8","306",,"263","247",,,,,"A",,"A","A",,,,,,,"217","36","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-08T22:00:00","23.20","36.60",,,"1","5","2","5","3","3","1",,,,,,,,,"10045","6","9","8","307",,"264","248",,,,,"A",,"A","A",,,,,,,"217","36","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-08T23:00:00","23.00","36.70",,,"1","5","2","5","3","3","1",,,,,,,,,"10041","8","10","8","308",,"266","252",,,,,"A",,"A","A",,,,,,,"217","36","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-09T00:00:00","22.80","36.80",,,"1","5","2","5","3","3","1",,,,,,,,,"10029","8","18","8","309",,"269","255",,,,,"A",,"A","A",,,,,,,"217","26","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-09T01:00:00","22.60","36.90",,,"1","5","2","5","3","3","1",,,,,,,,,"10040","5","5","8","308",,"269","256",,,,,"A",,"A","A",,,,,,,"217","26","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-09T02:00:00","22.40","37.00",,,"1","5","2","5","3","3","1",,,,,,,,,"10040","5","0","8","308",,"271","258",,,,,"A",,"A","A",,,,,,,"217","27","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-09T03:00:00","22.20","37.10",,,"1","5","2","5","3","3","1",,,,,,,,,"10038","0","9","8","309",,"270","257",,,,,"A",,"A","A",,,,,,,"217","27","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-09T04:00:00","22.00","37.20",,,"1","5","2","5","3","3","1",,,,,,,,,"10040","8","0","8","315",,"269","254",,,,,"A",,"A","A",,,,,,,"217","27","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA7","5",,,,,,,,
"WLZ9WHS","2021-09-09T05:00:00","25.20","36.40",,,"1","6","2","5","3","3","1",,"330","3","77","1","98",,,"10065","3","5","8","315",,"280","267","7","319","1",,"0","A","8","A",,"6","2","31","10","2","217","56","798","172","5","1","2","2","111111","111AA111111111","5",,,,,,,,
"WMCS","2021-09-09T05:00:00","21.90","37.30",,,"1","5","2","5","3","3","1",,,,,,,,,"10046","3","6","8","339",,"279","259",,,,,"A",,"A","A",,,,,,,"217","17","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"DIGX2","2021-09-09T06:00:00","26.30","34.90",,,"1","6","2","5","5","4","1",,"350",,"123","1","98","2","0","10073","3","16","8","315",,,"214","1","289","1","1","0","A","4","0","35","4","5","36","8","6","217","64","798","172","5","0",,"2","111111","1111111A111111","5",,"0",,,,,,
"WMCS","2021-09-09T06:00:00","21.70","37.40",,,"1","5","2","5","3","3","1",,,,,,,,,"10048","3","10","8","354",,"290","270",,,,,"A",,"A","A",,,,,,,"217","17","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-09T07:00:00","21.50","37.50",,,"1","5","2","5","3","3","1",,,,,,,,,"10057","3","17","8","355",,"291","271",,,,,"A",,"A","A",,,,,,,"217","17","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,,,,,
"WMCS","2021-09-09T08:00:00","21.30","37.60",,,"1","5","2","5","3","3","1",,,,,,,,,"10061","0","14","8","359",,"299","281",,,,,"A",,"A","A",,,,,,,"217","17","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,,,,,
"DIGX2","2021-09-09T09:00:00","27.00","34.40",,,"1","6","2","5","7","4","1",,"330",,"77","1","98","2","0","10084","0","10","8","293","0","255","241","1","277","4","3","6","3","1","0","33","2","2","35","6","4","217","74","798","172","5","0",,"2","111111","11111111111111","5",,"0",,,,,,
"WMCS","2021-09-09T09:00:00","21.10","37.70",,,"1","5","2","5","3","3","1",,,,,,,,,"10058","0","10","8","342",,"291","275",,,,,"A",,"A","A",,,,,,,"217","17","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"9V6415","2021-09-09T10:00:00","29.80","32.50",,,"1","6","2","5","9","0","1",,"20","4","21",,,,,"10120",,,"8","330",,"250","219","7","270",,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","2","151111","11AAA111118AAA","5",,,,,,,,
"WMCS","2021-09-09T10:00:00","20.90","37.80",,,"1","5","2","5","3","3","1",,,,,,,,,"10055","8","3","8","348",,"298","283",,,,,"A",,"A","A",,,,,,,"217","7","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,,,,,
"WLZ9WHS","2021-09-09T11:00:00","24.10","36.90",,,"1","6","2","5","3","3","1",,"310","3","87","1","98","2",,"10059","7","8","8","325",,"295","285","7","325",,,"0",,"A","A",,"5","2",,,,"217","46","798","172","5","1","2","2","111111","1111A1111181A1","5",,,,,,,,
"WMCS","2021-09-09T11:00:00","20.70","37.90",,,"1","5","2","5","3","3","1",,,,,,,,,"10052","8","8","8","351",,"300","286",,,,,"A",,"A","A",,,,,,,"217","7","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,,,,,
"9V6415","2021-09-09T12:00:00","29.80","32.50",,,"1","6","2","5","9","0","1",,"30","4","26",,,,,"10130","4","0","8","310",,"270","257","7","270",,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","2","111111","11AAA111118AA1","5",,,,,,,,
"DIGX2","2021-09-09T12:00:00","27.70","33.80",,,"1","6","2","5","7","4","1",,"330",,"113","1","97","1","0","10070","8","15","8","315","0","235","201","1","275","3",,"6","2","A","1","33","10","6","24","10","3","217","73","798","172","5","0",,"2","111111","11111111111111","5",,"0",,,,,,
"EUMDE31","2021-09-09T12:00:00","29.95","32.58",,,"1","5","2","5","4","2","1","5","355",,"26",,,,,"10092","7","20","8",,,,,,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F71116","11AAA19A9AAAA1","5",,,,,,,,
"WMCS","2021-09-09T12:00:00","20.50","38.00",,,"1","5","2","5","3","3","1",,,,,,,,,"10050","6","9","8","338",,"296","283",,,,,"A",,"A","A",,,,,,,"217","8","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"EUMDE31","2021-09-09T13:00:00","29.81","32.53",,,"1","5","2","5","5","3","1",,"40",,"12",,,,,"10088","7","19","8",,,,,,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F71116","11AAA16A6AAAA1","5",,,,,,,,
"WMCS","2021-09-09T13:00:00","20.30","38.10",,,"1","5","2","5","3","3","1",,,,,,,,,"10045","6","10","8","335",,"296","285",,,,,"A",,"A","A",,,,,,,"217","8","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"EUMDE31","2021-09-09T14:00:00","29.54","32.56",,,"1","5","2","5","4","4","1",,"20",,"34",,,,,"10084","7","17","8",,,,"142",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F71114","11AAA11A1AAAA1","5",,,,,,,,
"WLZ9WHS","2021-09-09T14:00:00","23.70","37.30",,,"1","6","2","5","3","3","1",,"330","3","87",,,,,"10053","7","6","8","318",,"298","291","7","329",,,"A",,"A","A",,,,,,,"217","37","798","172","5","1","2","2","111111","11AAA111118AA1","5",,,,,,,,
"WMCS","2021-09-09T14:00:00","20.10","38.20",,,"1","5","2","5","3","3","1",,,,,,,,,"10038","8","14","8","337",,"295","282",,,,,"A",,"A","A",,,,,,,"217","8","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,
"EUMDE31","2021-09-09T15:00:00","29.26","32.69",,,"1","5","2","5","3","4","1",,"320",,"73",,,,,"10082","7","10","8",,,,,,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F71116","11AAA11A9AAAA1","5",,,,,,,,
"EUMDE31","2021-09-09T16:00:00","28.97","32.81",,,"1","5","2","5","4","4","1",,"340",,"66",,,,,"10083","7","6","8","320",,,"183",,,,,,,,,,,,,,,"217","82","798","172","5","0",,"1","F31112","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-09T17:00:00","29.90","32.55",,,"1","5","2","5","4","2","1","5","335",,"145",,,,,"10110","2","17","8","297",,,"241",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F11211","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-09T17:00:00","28.69","32.95",,,"1","5","2","5","3","4","1",,"330",,"105",,,,,"10087","2","3","8","325",,,"179",,,,,,,,,,,,,,,"217","82","798","172","5","0",,"1","F51112","11AAA11A1AAAA1","5",,,,,,,,
"DIGX2","2021-09-09T18:00:00","29.10","32.80",,,"1","6","2","5","7","4","1",,"360",,"144","1","97","32","1","10085","0","12","8","298","0","250","232","1","270","4","2","6","2","0","5",,,"7",,,,"217","92","798","172","5","0",,"1","111411","111111111113A1","5",,"1",,,,,,
"EUCDE19","2021-09-09T18:00:00","29.67","32.51",,,"1","5","2","5","4","4","1","5","5",,"142",,,,,"10121","2","21","8","290",,,"241",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F11411","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-09T18:00:00","28.43","33.12",,,"1","5","2","5","3","4","1","5","325",,"124",,,,,"10091","2","8","8","314",,,"229",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"1","F31111","11AAA11A1AAAA1","5",,,,,,,,
"9HA4902","2021-09-09T19:00:00","22.70","37.80",,,"1","4","0","0","3","4","1","0",,"4",,,"97",,,"10110","7",,"0","310","0","300","297",,"290",,,"A","A","A","6",,,,,,,"217","27","992","114","5","1","2","1","11FF11","111AA111118AA7",,"1",,,,,,,"4"
"EUCDE19","2021-09-09T19:00:00","29.42","32.59",,,"1","5","2","5","3","4","1",,"350",,"145",,,,,"10124","2","18","8","287",,,"238",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F11411","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-09T19:00:00","28.18","33.30",,,"1","5","2","5","3","4","1",,"320",,"142",,,,,"10090","2","6","8","296",,,"241",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-09T20:00:00","29.18","32.72",,,"1","5","2","5","3","4","1",,,,,,,,,"10114","2","4","8","282",,,"236",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F11611","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-09T20:00:00","27.98","33.54",,,"1","5","2","5","3","4","1","5","305",,"104",,,,,"10090","2","2","8","285",,,"246",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-09T21:00:00","28.93","32.83",,,"1","5","2","5","4","4","1",,,,,,,,,"10116","7","6","8","280",,,"234",,,,,,,,,,,,,,,"217","82","798","172","5","0",,"1","F11611","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-09T21:00:00","27.77","33.78",,,"1","5","2","5","3","4","1",,"320",,"103",,,,,"10093","2","1","8","286",,,"242",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-09T22:00:00","28.68","32.96",,,"1","5","2","5","3","4","1",,,,,,,,,"10107","7","16","8","279",,,"234",,,,,,,,,,,,,,,"217","82","798","172","5","0",,"1","F11611","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-09T22:00:00","27.55","34.01",,,"1","5","2","5","3","4","1","5","315",,"114",,,,,"10089","7","1","8","288",,,"239",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-09T23:00:00","28.45","33.11",,,"1","5","2","5","3","4","1",,"330",,"147",,,,,"10104","7","11","8","283",,,"235",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"1","F11211","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-09T23:00:00","27.29","34.20",,,"1","5","2","5","3","4","1",,"330",,"100",,,,,"10086","7","4","8","284",,,"244",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"V7JD6","2021-09-09T23:00:00","23.30","36.90",,,"1","6","2","5","8","3","1",,"360","4","41","1","97",,,"10080",,,"8","270",,"250","243","3","320","1","1","1","4","A","A","0","30","0","4","30","1","217","36","798","172","5","1","2","1","111111","111AA11111183A","5",,,,,,,,
"EUCDE19","2021-09-10T00:00:00","28.21","33.26",,,"1","5","2","5","3","4","1","5","305",,"167",,,,,"10100","7","16","8","275",,,"239",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"1","F15111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T00:00:00","27.02","34.36",,,"1","5","2","5","3","4","1","5","325",,"93",,,,,"10079","7","14","8","280",,,"246",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T01:00:00","28.02","33.49",,,"1","5","2","5","3","4","1","5",,,,,,,,"10092","7","16","8","275",,,"239",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"1","F17111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T01:00:00","26.74","34.53",,,"1","5","2","5","3","4","1","5","325",,"121",,,,,"10076","7","13","8","280",,,"243",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T02:00:00","27.83","33.73",,,"1","5","2","5","3","4","1","5","315",,"181",,,,,"10088","7","16","8","272",,,"238",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"1","F13111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T02:00:00","26.44","34.70",,,"1","5","2","5","3","5","1",,"330",,"133",,,,,"10071","7","15","8","281",,,"243",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T03:00:00","27.62","33.95",,,"1","5","2","5","3","4","1",,"320",,"158",,,,,"10089","7","11","8","272",,,"238",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T03:00:00","26.12","34.90",,,"1","5","2","5","3","5","1",,"330",,"145",,,,,"10072","7","7","8","285",,,"245",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T04:00:00","27.40","34.14",,,"1","5","2","5","3","4","1",,"320",,"137",,,,,"10096","2","4","8","274",,,"240",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T04:00:00","25.82","35.13",,,"1","5","2","5","3","5","1",,"330",,"124",,,,,"10078","2","2","8","288",,,"249",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T05:00:00","27.15","34.29",,,"1","5","2","5","3","4","1","5","325",,"140",,,,,"10097","2","10","8","280",,,"239",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T05:00:00","25.52","35.34",,,"1","5","2","5","3","5","1","5","325",,"115",,,,,"10079","2","9","8","304",,,"251",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T06:00:00","26.90","34.43",,,"1","5","2","5","3","4","1","5","315",,"147",,,,,"10100","2","11","8","284",,,"235",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F13111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T06:00:00","25.22","35.54",,,"1","5","2","5","3","5","1","5","325",,"119",,,,,"10081","2","10","8","309",,,"250",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"WLZ9WHS","2021-09-10T06:00:00","21.40","39.10",,,"1","6","2","5","9","0","1",,"240","3","36",,,"5",,"10099","1","19","8","320",,"300","293","7","343",,,"A",,"A","A",,,,,,,"217","19","798","172","5","1","2","2","311111","11A1A111118AA1","5",,,,,,,,
"EUCDE19","2021-09-10T07:00:00","26.65","34.57",,,"1","5","2","5","3","4","1",,"320",,"146",,,,,"10101","2","5","8","288",,,"239",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T07:00:00","24.92","35.76",,,"1","5","2","5","3","5","1","5","325",,"113",,,,,"10088","2","11","8","323",,,"251",,,,,,,,,,,,,,,"217","45","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"A8ZV3","2021-09-10T08:00:00","20.90","38.40",,,"1","6","2","5","7","4","1",,"20","3","62","1","97","5","1","10094","0","1","8","320",,"270","253","1","307","4","4","A","A","A","A",,"5","1",,,,"217","8","798","172","5","1","2","2","111111","111111111111A1","5",,"1",,,,,,
"EUCDE19","2021-09-10T08:00:00","26.39","34.72",,,"1","5","2","5","3","4","1",,"320",,"143",,,,,"10100","2","2","8","290",,,"237",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T08:00:00","24.63","35.98",,,"1","5","2","5","3","5","1",,"320",,"119",,,,,"10081","2","2","8","327",,,"251",,,,,,,,,,,,,,,"217","45","798","172","5","0",,"2","F31111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T09:00:00","26.16","34.89",,,"1","5","2","5","3","4","1",,"320",,"133",,,,,"10097","7","3","8","295",,,"239",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T09:00:00","24.33","36.21",,,"1","5","2","5","3","5","1","5","335",,"97",,,,,"10086","2","5","8","327",,,"258",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T10:00:00","25.92","35.04",,,"1","5","2","5","3","4","1",,"330",,"123",,,,,"10092","7","8","8","302",,,"232",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T10:00:00","24.02","36.41",,,"1","5","2","5","3","5","1","5","335",,"115",,,,,"10077","7","11","8","332",,,"249",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T11:00:00","25.69","35.19",,,"1","5","2","5","3","4","1",,"330",,"125",,,,,"10084","7","15","8","308",,,"238",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T11:00:00","23.73","36.61",,,"1","5","2","5","3","5","1",,"340",,"97",,,,,"10079","7","2","8","320",,,"257",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"A8ZV3","2021-09-10T12:00:00","21.80","37.80",,,"1","6","2","5","7","4","1",,"330","3","113","1","97","5","0","10071","8","21","8","308",,"282","274","1","309","0","0","0","9","0","0",,"4","2",,,,"217","17","798","172","5","1","2","2","111111","111111111111A1","5",,"0",,,,,,
"EUCDE19","2021-09-10T12:00:00","25.45","35.34",,,"1","5","2","5","3","4","1","5","335",,"118",,,,,"10078","7","19","8","304",,,"244",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T12:00:00","23.44","36.81",,,"1","5","2","5","3","5","1",,"340",,"99",,,,,"10070","7","16","8","314",,,"262",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T13:00:00","25.21","35.48",,,"1","5","2","5","3","4","1",,"350",,"110",,,,,"10071","7","22","8","302",,,"243",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T13:00:00","23.14","37.00",,,"1","5","2","5","3","5","1",,"340",,"97",,,,,"10064","7","13","8","316",,,"266",,,,,,,,,,,,,,,"217","37","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T14:00:00","24.98","35.63",,,"1","5","2","5","3","4","1","5","5",,"99",,,,,"10066","7","18","8","300",,,"250",,,,,,,,,,,,,,,"217","45","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T14:00:00","22.84","37.19",,,"1","5","2","5","3","5","1",,"340",,"94",,,,,"10062","7","17","8","309",,,"269",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T15:00:00","24.75","35.78",,,"1","5","2","5","3","4","1",,"10",,"88",,,,,"10064","7","13","8","305",,,"246",,,,,,,,,,,,,,,"217","45","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T15:00:00","22.55","37.38",,,"1","5","2","5","3","5","1","5","335",,"89",,,,,"10062","7","8","8","304",,,"275",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE19","2021-09-10T16:00:00","24.51","35.93",,,"1","5","2","5","3","4","1",,"320",,"43",,,,,"10071","2","1","8","301",,,"251",,,,,,,,,,,,,,,"217","45","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE31","2021-09-10T16:00:00","22.26","37.56",,,"1","5","2","5","3","5","1",,"340",,"87",,,,,"10061","7","4","8","297",,,"275",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
