"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"KLIH1","2015-09-06T08:24:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","20","4","26",,,,"10121",,,"0","269",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","1","2","1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T08:24:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","20","4","10",,,,"10116",,,"0","281",,,,"1","301",,,,"A",,,,,,,,"234","5","995","114","16","1","2","1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T08:24:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","100","4","21",,,,"10122",,,,"271",,,,"1","297",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T08:24:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","60","4","31",,,,"10120",,,,"269",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T08:24:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","361","4","0",,,,"10120",,,"0","274",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","1","2","1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T08:30:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","360","4","21",,,,"10121",,,"0","268",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","1","2","1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T08:30:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","10","4","10",,,,"10115",,,"0","281",,,,"1","301",,,,"A",,,,,,,,"234","5","995","114","16","1","2","1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T08:30:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","150","4","10",,,,"10122",,,,"269",,,,"1","297",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T08:30:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","70","4","36",,,,"10120",,,,"268",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T08:30:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","50","4","5",,,,"10120",,,"0","274",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","1","2","1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"5100208","2015-09-06T08:31:00","22.30","-159.60",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","287",,,,,,,"10","3","9","14","4","234","29","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100204","2015-09-06T08:33:00","21.30","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","286",,,,,,,"10","2","17","17","2","234","18","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"5100207","2015-09-06T08:33:00","21.50","-157.80",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","286",,,,,,,"10","3","7","13","2","234","17","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"5100201","2015-09-06T08:34:00","21.70","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","283",,,,,,,"9","2","5","13","1","234","18","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T08:36:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","10","4","26",,,,"10119",,,"0","269",,,,"1","288",,,,"A",,,,,,,,"234","6","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T08:36:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","360","4","10",,,,"10115",,,"0","280",,,,"1","301",,,,"A",,,,,,,,"234","5","995","114","16","0",,"1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T08:36:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","200","4","10",,,,"10121",,,,"263",,,,"1","297",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T08:36:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","70","4","36",,,,"10120",,,,"269",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T08:36:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","100","4","10",,,,"10120",,,"0","273",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"5100205","2015-09-06T08:37:00","21.00","-156.40",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","279",,,,,,,"9","3","8","13","5","234","16","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100202","2015-09-06T08:41:00","21.40","-157.70",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","288",,,,,,,"10","3","8","14","6","234","17","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T08:42:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","360","4","31",,,,"10118",,,"0","269",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T08:42:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","360","4","10",,,,"10115",,,"0","279",,,,"1","301",,,,"A",,,,,,,,"234","5","995","114","16","0",,"1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T08:42:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","190","4","15",,,,"10121",,,,"263",,,,"1","297",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T08:42:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","60","4","36",,,,"10119",,,,"269",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T08:42:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","70","4","10",,,,"10120",,,"0","272",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T08:48:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","360","4","31",,,,"10118",,,"0","269",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T08:48:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","10","4","15",,,,"10115",,,"0","277",,,,"1","301",,,,"A",,,,,,,,"234","5","995","114","16","0",,"1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T08:48:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","190","4","15",,,,"10121",,,,"262",,,,"1","297",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T08:48:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","60","4","36",,,,"10119",,,,"268",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T08:48:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","90","4","10",,,,"10120",,,"0","272",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"5100000","2015-09-06T08:50:00","23.50","-153.80",,,"1","4",,"0",,,,"11","0","50","1","50",,,,"10121","1","4",,"259",,,,"1","263",,,,,,,"5","1","11","14","6","234","33","793","103","6","1","2","1","11111F","11AAA11AA1A111",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T08:54:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","350","4","31",,,,"10117",,,"0","268",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","1","2","1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T08:54:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","40","4","10",,,,"10115",,,"0","276",,,,"1","301",,,,"A",,,,,,,,"234","5","995","114","16","1","2","1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T08:54:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","210","4","10",,,,"10121",,,,"261",,,,"1","296",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T08:54:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","50","4","31",,,,"10119",,,,"268",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T08:54:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","40","4","10",,,,"10120",,,"0","271",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","1","2","1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"2100908","2015-09-06T09:00:00","25.42","-151.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","265",,,,,,,,,,,,"234","51","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4600561","2015-09-06T09:00:00","27.58","-156.88",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","261",,,,,,,,,,,,"234","76","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"5100540","2015-09-06T09:00:00","22.68","-150.11",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"234","20","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"KLIH1","2015-09-06T09:00:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","330","4","36",,,,"10117","0","6","0","269",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","1","2","1","11111F","11AAA11AA18AA1","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T09:00:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","360","4","5",,,,"10114","0","10","0","275",,,,"1","301",,,,"A",,,,,,,,"234","5","995","114","16","1","2","1","51111F","11AAA11AA18AA1","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T09:00:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","200","4","10",,,,"10120","1","7",,"261",,,,"1","296",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAA1","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T09:00:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","70","4","31",,,,"10119","1","11",,"269",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAA1","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T09:00:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","40","4","10",,,,"10119","1","10","0","270",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","1","2","1","11111F","11AAA11AA18AA1","31",,"6",,,,,,,,,,,"4"
"5100208","2015-09-06T09:01:00","22.30","-159.60",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","287",,,,,,,"10","3","8","11","3","234","29","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100204","2015-09-06T09:03:00","21.30","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","286",,,,,,,"10","2","17","17","2","234","18","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"5100207","2015-09-06T09:03:00","21.50","-157.80",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","284",,,,,,,"10","3","7","13","2","234","17","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"5100201","2015-09-06T09:04:00","21.70","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","282",,,,,,,"10","2","4","14","2","234","18","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T09:06:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","330","4","36",,,,"10116",,,"0","269",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T09:06:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","330","4","5",,,,"10114",,,"0","277",,,,"1","300",,,,"A",,,,,,,,"234","5","995","114","16","0",,"1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T09:06:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","200","4","5",,,,"10120",,,,"261",,,,"1","296",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T09:06:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","50","4","26",,,,"10119",,,,"268",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T09:06:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","40","4","10",,,,"10119",,,"0","270",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"5100205","2015-09-06T09:07:00","21.00","-156.40",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","279",,,,,,,"9","3","8","14","5","234","16","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100202","2015-09-06T09:11:00","21.40","-157.70",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","288",,,,,,,"9","3","8","14","5","234","17","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T09:12:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","320","4","36",,,,"10116",,,"0","268",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T09:12:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","20","4","15",,,,"10114",,,"0","276",,,,"1","300",,,,"A",,,,,,,,"234","5","995","114","16","0",,"1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T09:12:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","230","4","10",,,,"10120",,,,"258",,,,"1","296",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T09:12:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","60","4","26",,,,"10119",,,,"269",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T09:12:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","60","4","15",,,,"10119",,,"0","270",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T09:18:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","320","4","36",,,,"10115",,,"0","266",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T09:18:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","20","4","15",,,,"10114",,,"0","276",,,,"1","300",,,,"A",,,,,,,,"234","5","995","114","16","0",,"1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T09:18:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","240","4","10",,,,"10119",,,,"259",,,,"1","296",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T09:18:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","70","4","26",,,,"10119",,,,"270",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T09:18:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","70","4","15",,,,"10118",,,"0","269",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T09:24:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","310","4","41",,,,"10115",,,"0","264",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","1","2","1","11311F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T09:24:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","30","4","10",,,,"10114",,,"0","275",,,,"1","300",,,,"A",,,,,,,,"234","5","995","114","16","1","2","1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T09:24:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","361","4","0",,,,"10119",,,,"260",,,,"1","296",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T09:24:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","60","4","26",,,,"10118",,,,"269",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T09:24:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","60","4","15",,,,"10117",,,"0","269",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","1","2","1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T09:30:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","300","4","46",,,,"10114",,,"0","265",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","1","2","1","11311F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T09:30:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","20","4","15",,,,"10113",,,"0","274",,,,"1","300",,,,"A",,,,,,,,"234","5","995","114","16","1","2","1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T09:30:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","361","4","0",,,,"10118",,,,"261",,,,"1","296",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T09:30:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","60","4","21",,,,"10118",,,,"268",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T09:30:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","60","4","15",,,,"10116",,,"0","269",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","1","2","1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"5100208","2015-09-06T09:31:00","22.30","-159.60",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","287",,,,,,,"10","3","9","14","4","234","29","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100204","2015-09-06T09:33:00","21.30","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","286",,,,,,,"9","2","17","17","2","234","18","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"5100207","2015-09-06T09:33:00","21.50","-157.80",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","283",,,,,,,"10","3","7","13","3","234","17","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100201","2015-09-06T09:34:00","21.70","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","282",,,,,,,"10","2","5","13","2","234","18","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T09:36:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","310","4","41",,,,"10113",,,"0","265",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"1","11311F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T09:36:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","30","4","15",,,,"10113",,,"0","274",,,,"1","300",,,,"A",,,,,,,,"234","5","995","114","16","0",,"1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T09:36:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","190","4","5",,,,"10118",,,,"263",,,,"1","296",,,,,,,,,,,,"234","17","795","103","16","1","2","1","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T09:36:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","60","4","21",,,,"10117",,,,"268",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T09:36:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","50","4","15",,,,"10116",,,"0","269",,,,"1","283",,,,"A",,,,,,,,"234","17","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"5100205","2015-09-06T09:37:00","21.00","-156.40",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","279",,,,,,,"10","3","8","14","6","234","16","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100202","2015-09-06T09:41:00","21.40","-157.70",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","288",,,,,,,"10","3","9","13","5","234","17","793","103","6","1","2","1","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T09:42:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","310","4","41",,,,"10112",,,"0","265",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"1","11311F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T09:42:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","30","4","15",,,,"10112",,,"0","274",,,,"1","300",,,,"A",,,,,,,,"234","5","995","114","16","0",,"1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T09:42:00","21.43","-157.79",,,"1","4","2","5",,,,"5",,,,,,,,"10117",,,,,,,,"1","296",,,,,,,,,,,,"234","17","795","103","16","1","2","1","3FFF1F","1AAAA1AAA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-06T09:42:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","60","4","10",,,,"10117",,,,"268",,,,"1","287",,,,,,,,,,,,"234","19","795","103","16","1","2","1","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-06T09:42:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","60","4","10",,,,"10116",,,"0","269",,,,"1","283",,,,"A",,,,,,,,"234","17","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-06T09:48:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","340","4","46",,,,"10112",,,"0","263",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"1","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-06T09:48:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","40","4","15",,,,"10110",,,"0","273",,,,"1","300",,,,"A",,,,,,,,"234","5","995","114","16","0",,"1","51111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-06T09:48:00","21.43","-157.79",,,"1","4","2","5",,,,"5",,,,,,,,"10117",,,,,,,,"1","296",,,,,,,,,,,,"234","17","795","103","16","1","2","1","3FFF1F","1AAAA1AAA1AAAA","31",,"6",,,,,,,,,,,"4"
