"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"4100709","2015-09-06T09:00:00","27.76","-72.68",,,"1","3","2","5",,,,"11",,,,,,,,"10138","7","2","0",,,,,,"300",,,,,,,,,,,,"242","72","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T09:00:00","25.32","-74.92",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","304",,,,,,,,,,,,"242","54","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-06T09:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","180","4","10",,,,"10143","5","0",,"274",,,"236",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100688","2015-09-06T09:19:00","27.36","-70.42",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T09:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","40","1","30",,,,"10142",,,,"281",,,"215","1","296",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100688","2015-09-06T09:21:00","27.36","-70.42",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100688","2015-09-06T09:26:00","27.36","-70.42",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T09:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","40","1","30",,,,"10145","5","0",,"281",,,"215","1","296",,,,,,,"10","1","8","10","1","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-06T09:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","240","1","20",,,,"10137","3","6",,"284",,,"225","1","298",,,,,,,"8","1","10","8","1","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-06T10:00:00","27.76","-72.68",,,"1","3","2","5",,,,"11",,,,,,,,"10144","2","7","0",,,,,,"300",,,,,,,,,,,,"242","72","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T10:00:00","25.31","-74.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","305",,,,,,,,,,,,"242","54","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-06T10:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","340","4","26",,,,"10147","3","5",,"273",,,"239",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100688","2015-09-06T10:05:00","27.36","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100688","2015-09-06T10:10:00","27.36","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100688","2015-09-06T10:11:00","27.36","-70.42",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100928","2015-09-06T10:11:00","25.31","-74.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","305",,,,,,,,,,,,"242","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T10:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","50","1","20",,,,"10149",,,,"281",,,"215","1","297",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100688","2015-09-06T10:21:00","27.36","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T10:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","50","1","20",,,,"10152","3","10",,"281",,,"213","1","297",,,,,,,"9","1","10","9","1","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-06T10:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","240","1","20",,,,"10142","3","12",,"284",,,"227","1","298",,,,,,,"9","1","11","9","1","242","71","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100688","2015-09-06T10:53:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100928","2015-09-06T10:53:00","25.30","-74.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","304",,,,,,,,,,,,"242","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100688","2015-09-06T10:54:00","27.36","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100709","2015-09-06T11:00:00","27.76","-72.68",,,"1","3","2","5",,,,"11",,,,,,,,"10149","2","12","0",,,,,,"300",,,,,,,,,,,,"242","72","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T11:00:00","25.30","-74.95",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","304",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"MGSG6","2015-09-06T11:00:00","28.00","-77.20",,,"1","4","0","0","6","3","1","1","0","30","4","10","98","2","0","10162","7","4","0","277","0","242","226","3","304","4","3","5","7","A","4",,,,,,"242","87","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,,,,,,,,,,"4"
"SPGF1","2015-09-06T11:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","40","4","21",,,,"10151","3","11",,"276",,,"227",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100688","2015-09-06T11:03:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T11:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","30","1","20",,,,"10153",,,,"282",,,"211","1","297",,,,,,,,,,,,"242","88","793","103","6","1","2","2","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100688","2015-09-06T11:42:00","27.37","-70.44",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T11:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","50","1","20",,,,"10156","2","15",,"283",,,"210","1","297",,,,,,,"10","1","7","10","1","242","88","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-06T11:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","230","1","20",,,,"10147","2","15",,"288",,,"231","1","298",,,,,,,"9","1","11","9","1","242","71","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100688","2015-09-06T11:51:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","302",,,,,,,,,,,,"242","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100928","2015-09-06T11:53:00","25.30","-74.96",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","305",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100688","2015-09-06T11:54:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100688","2015-09-06T11:57:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,"242","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100709","2015-09-06T12:00:00","27.79","-72.75",,,"1","3","2","5",,,,"11",,,,,,,,"10152","2","14","0",,,,,,"300",,,,,,,,,,,,"242","72","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T12:00:00","25.30","-74.96",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","304",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"MRSA8","2015-09-06T12:00:00","29.00","-72.60",,,"1","4","0","0","5","3",,"1","0","110","4","36","98","2","1","10151","4","0","0","290","0","250","232","3","300","5","4","4","5","4","4","3","1",,,,"242","92","992","114","5","1","2","2","111111","111111111111A1",,"1","1",,,,,,,,,,,"4"
"SPGF1","2015-09-06T12:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","60","4","57",,,,"10155","2","12",,"278",,,"223",,,,,,,,,,,,,,"242","68","795","103","13","1","2","2","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"WGJT","2015-09-06T12:00:00","23.20","-71.60",,,"1","4","0","0","3","4",,"1","0","140","4","46","98",,,"10154","2","14","0","306","0","267","251","1","283","1","1","2","3","0","0","3","2","14","3","2","242","31","992","114","5","1","2","2","111111","111AA111111111",,"1",,,,,,,,,,,,"4"
"4100010","2015-09-06T12:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","50","1","20",,,,"10157",,,,"284",,,"212","1","297",,,,,,,,,,,,"242","88","793","103","6","1","2","2","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100688","2015-09-06T12:39:00","27.38","-70.43",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"300",,,,,,,,,,,,"242","70","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T12:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","50","1","20",,,,"10157","1","12",,"283",,,"214","1","297",,,,,,,"9","1","9","9","1","242","88","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-06T12:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","220","1","10",,,,"10149","1","12",,"290",,,"228","1","300",,,,,,,"8","1","12","8","1","242","71","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-06T13:00:00","27.79","-72.75",,,"1","3","2","5",,,,"11",,,,,,,,"10155","2","11","0",,,,,,"300",,,,,,,,,,,,"242","72","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T13:00:00","25.30","-74.96",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","304",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-06T13:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","80","4","36",,,,"10159","2","12",,"289",,,"226",,,,,,,,,,,,,,"242","68","795","103","13","1","2","2","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-06T13:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","50","1","10",,,,"10159",,,,"287",,,"214","1","298",,,,,,,,,,,,"242","88","793","103","6","1","2","2","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100688","2015-09-06T13:26:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"242","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T13:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","361","1","0",,,,"10160","1","8",,"287",,,"214","1","299",,,,,,,"8","1","6","8","1","242","88","793","103","6","1","2","2","111111","11AAA11A11A711",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-06T13:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","270","1","10",,,,"10153","1","11",,"288",,,"230","1","303",,,,,,,"8","1","11","8","1","242","71","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-06T14:00:00","27.79","-72.75",,,"1","3","2","5",,,,"11",,,,,,,,"10160","2","12","0",,,,,,"302",,,,,,,,,,,,"242","72","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T14:00:00","25.30","-74.96",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","305",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-06T14:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","150","4","41",,,,"10159","1","8",,"284",,,"235",,,,,,,,,,,,,,"242","68","795","103","13","1","2","2","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100688","2015-09-06T14:09:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","302",,,,,,,,,,,,"242","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T14:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","50","1","20",,,,"10164",,,,"285",,,"216","1","300",,,,,,,,,,,,"242","88","793","103","6","1","2","2","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100688","2015-09-06T14:20:00","27.38","-70.43",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"304",,,,,,,,,,,,"242","70","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T14:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","50","1","10",,,,"10165","3","9",,"289",,,"216","1","301",,,,,,,"9","1","7","9","1","242","88","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-06T14:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","361","1","0",,,,"10160","3","13",,"292",,,"230","1","307",,,,,,,"9","1","10","9","1","242","71","793","103","6","1","2","2","111111","11AAA11A11A711",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-06T15:00:00","27.81","-72.80",,,"1","3","2","5",,,,"11",,,,,,,,"10165","2","13","0",,,,,,"305",,,,,,,,,,,,"242","72","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T15:00:00","25.28","-74.98",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","307",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-06T15:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","190","4","26",,,,"10167","3","12",,"285",,,"240",,,,,,,,,,,,,,"242","68","795","103","13","1","2","2","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100688","2015-09-06T15:03:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","309",,,,,,,,,,,,"242","70","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100928","2015-09-06T15:03:00","25.28","-74.98",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","310",,,,,,,,,,,,"242","54","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100688","2015-09-06T15:08:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","309",,,,,,,,,,,,"242","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T15:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","30","1","10",,,,"10166",,,,"285",,,"218","1","303",,,,,,,,,,,,"242","88","793","103","6","1","2","2","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-06T15:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","340","1","10",,,,"10167","1","10",,"286",,,"217","1","307",,,,,,,"9","1","13","9","1","242","88","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-06T15:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","340","1","30",,,,"10157","0","8",,"282",,,"234","1","311",,,,,,,"8","1","10","8","1","242","71","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100688","2015-09-06T15:55:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","313",,,,,,,,,,,,"242","70","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100688","2015-09-06T15:57:00","27.37","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","313",,,,,,,,,,,,"242","70","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100709","2015-09-06T16:00:00","27.81","-72.80",,,"1","3","2","5",,,,"11",,,,,,,,"10163","2","8","0",,,,,,"309",,,,,,,,,,,,"242","72","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T16:00:00","25.28","-74.98",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","310",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-06T16:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","20","4","41",,,,"10167","2","8",,"287",,,"229",,,,,,,,,,,,,,"242","68","795","103","13","1","2","2","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-06T16:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","20","1","10",,,,"10167",,,,"289",,,"220","1","307",,,,,,,,,,,,"242","88","793","103","6","1","2","2","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-06T16:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","361","1","0",,,,"10163","0","3",,"294",,,"216","1","313",,,,,,,"8","1","10","8","1","242","88","793","103","6","1","2","2","111111","11AAA11A11A711",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-06T16:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","290","1","10",,,,"10156","1","3",,"290",,,"234","1","315",,,,,,,"8","1","11","8","1","242","71","793","103","6","1","2","2","311111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-06T17:00:00","27.81","-72.80",,,"1","3","2","5",,,,"11",,,,,,,,"10161","2","1","0",,,,,,"313",,,,,,,,,,,,"242","72","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T17:00:00","25.26","-74.97",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","309",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-06T17:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","20","4","36",,,,"10161","0","0",,"279",,,"223",,,,,,,,,,,,,,"242","68","795","103","13","1","2","2","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-06T17:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","10","1","90",,,,"10160",,,,"261",,,"201","1","302",,,,,,,,,,,,"242","88","793","103","6","1","2","2","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100928","2015-09-06T17:36:00","25.26","-74.97",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","312",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100688","2015-09-06T17:42:00","27.36","-70.43",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","318",,,,,,,,,,,,"242","70","798","172","7","1","2","2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-06T17:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","40","1","20",,,,"10159","8","6",,"265",,,"188","1","299",,,,,,,"11","1","2","11","1","242","88","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-06T17:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","361","1","0",,,,"10154","6","6",,"284",,,"219","1","309",,,,,,,"8","1","11","8","1","242","71","793","103","6","1","2","2","111111","11AAA11A11A711",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-06T18:00:00","27.85","-72.86",,,"1","3","2","5",,,,"11",,,,,,,,"10158","7","6","0",,,,,,"316",,,,,,,,,,,,"242","72","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T18:00:00","25.26","-74.97",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","312",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"J8NW","2015-09-06T18:00:00","24.50","-75.20",,,"1","4","0","0","7","2",,"1","0","180","4","26","98",,"2","10139","5","11","0","320","0","300","294","1","300","5","5","4","8","8","8","1","1","18","2","1","242","45","992","114","5","1","2","2","131111","111A1111111111",,"1","2","18","2","1",,,,,,,,"4"
"J8NX","2015-09-06T18:00:00","22.30","-73.20",,,"1","4","0","0","3","2",,"1","0","140","3","67",,,,"10155","1","10","0","315","0","270","255","1","315","3","3","1","7","6","8","3","3","14","3","2","242","23","992","114","5","1","2","2","131111","11AAA111111111",,"3",,"14","2","2",,,,,,,,"4"
"SPGF1","2015-09-06T18:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","20","4","31",,,,"10154","8","13",,"287",,,"231",,,,,,,,,,,,,,"242","68","795","103","13","1","2","2","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"WFJK","2015-09-06T18:00:00","28.90","-79.00",,,"1","4","0","0","7","3",,"1","0","361","3","0","98",,"0","10160",,,"0","300","0","280","274","1","290","3","3","1","4","A","A",,,,,,"242","89","992","114","5","1","2","2","111111","111A1111111AAA",,"1","0",,,,,,,,,,,"4"
"4100010","2015-09-06T18:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","30","1","20",,,,"10155",,,,"281",,,"195","1","301",,,,,,,,,,,,"242","88","793","103","6","1","2","2","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-06T18:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","80","1","20",,,,"10151","8","16",,"281",,,"209","1","302",,,,,,,"9","1","6","9","1","242","88","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-06T18:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","290","1","20",,,,"10149","8","8",,"289",,,"229","1","314",,,,,,,"8","1","10","8","1","242","71","793","103","6","1","2","2","311111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-06T19:00:00","27.85","-72.86",,,"1","3","2","5",,,,"11",,,,,,,,"10152","7","11","0",,,,,,"321",,,,,,,,,,,,"242","72","794","103","7","1","2","2","3FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-06T19:00:00","25.24","-74.97",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","314",,,,,,,,,,,,"242","54","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-06T19:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","40","4","31",,,,"10151","6","16",,"290",,,"231",,,,,,,,,,,,,,"242","68","795","103","13","1","2","2","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
